latitude;price;bathrooms;Součet hodnot: accommodates;Součet hodnot: beds;Součet hodnot: host_response_rate;Součet hodnot: bedrooms;longitude
-22.969566215415327;$1,861.00;6;14;9;1;7;-43.18137292040692
-22.969716540381842;$598.00;3;14;8;0,67;3;-43.19053345069163
-22.969735049643976;$2,496.00;6;14;10;0,7;5;-43.18296592477081
-22.969883167475075;$649.00;2,5;14;16;1;5;-43.18926238219785
-22.96989660128633;$2,298.00;4;14;9;1;7;-43.18089918698501
-22.96998785469316;$1,690.00;4,5;14;9;1;4;-43.18355974735837
-22.971433114063437;$591.00;3,5;14;15;1;4;-43.18677572108277
-22.974072664448364;$68.00;1;14;5;1;2;-43.39622534643343
-22.97428519664836;$1,400.00;3;14;6;0,7;3;-43.18707335848663
-22.975775494371128;$680.00;3;14;11;1;3;-43.19101554683017
-22.976020859795785;$2,199.00;3;14;6;1;3;-43.18664376879858
-22.97899582560535;$1,499.00;3;14;6;1;5;-43.19002013643953
-22.979856601167214;$716.00;2;14;7;1;2;-43.19293229728646
-22.980058547902313;$1,551.00;2;14;8;1;3;-43.21953232594618
-22.980717506669727;$839.00;1;14;12;1;2;-43.65644557968891
-22.982793687276498;$471.00;3;14;8;0,67;5;-43.18974479324253
-22.982942232312613;$10,273.00;4;14;12;1;5;-43.22890556538761
-22.986181322282437;$2,496.00;4,5;14;5;1;6;-43.3834450690662
-22.9863327988552;$3,241.00;7;14;7;0,94;6;-43.20256262652219
-22.990107462547535;$2,500.00;4;14;10;0,5;5;-43.306074761325604
-22.994136480952225;$44.00;4;14;13;0,5;2;-43.31925820868655
-22.99650504322612;$79.00;4;14;13;0,71;1;-43.31741560929422
-22.997259223747996;$65.00;2;14;14;0,5;1;-43.268797123667454
-22.99746041466926;$2,500.00;6;14;14;1;5;-43.26212292368827
-22.998064748777114;$61.00;1;14;14;0,5;1;-43.2689996531038
-22.998647730996424;$1,599.00;2;14;12;0,7;1;-43.4212321864494
-23.00112222828855;$61.00;1;14;1;0,6;1;-43.30855662917667
-23.00137298481375;$40,001.00;8;14;7;0,8;6;-43.322105500701426
-23.0044889785592;$598.00;5;14;10;1;5;-43.41889923188104
-23.00492070678718;$2,001.00;7;14;9;1;5;-43.30445157322609
-23.007027806848782;$1,000.00;4,5;14;5;0,3;5;-43.298007140604525
-23.008932910449737;$7,800.00;7;14;10;1;6;-43.29083475823587
-23.01104271781192;$499.00;6;14;14;0,75;4;-43.46715947938875
-23.01117568123833;$1,499.00;3;14;7;0,67;4;-43.444890316451406
-23.012940165028894;$5,000.00;8;14;8;0,81;6;-43.29211718523673
-23.014530610557625;$1,401.00;4;14;4;1;4;-43.45960364819282
-22.84087516674069;$62.00;1;13;4;1;1;-43.296222011388835
-22.923584943163046;$601.00;3;13;13;0,9;4;-43.393716081777036
-22.93965774645553;$65.00;2;13;12;1;3;-43.173155462847006
-22.939809585493155;$65.00;2;13;12;1;3;-43.175167772525576
-22.94022647963295;$109.00;2;13;12;1;3;-43.17373209549835
-22.946897183469776;$106.00;3;13;13;0,8;3;-43.1944659635259
-22.947442785823856;$106.00;3;13;13;0,8;3;-43.19487060299434
-22.967533558840913;$750.00;3,5;13;13;1;4;-43.18986536182432
-22.967864256196208;$681.00;3,5;13;10;1;4;-43.18419527996856
-22.96888378496141;$622.00;2;13;8;1;3;-43.18483557981597
-22.96911794076751;$499.00;2;13;3;1;3;-43.18745294934856
-22.971281598642186;$680.00;2;13;8;1;3;-43.1888083559268
-22.972230775786677;$400.00;6;13;11;1;5;-43.357109140467735
-22.97666970375285;$649.00;3,5;13;9;1;4;-43.19319183122057
-22.97915202874449;$799.00;2;13;8;1;2;-43.1898204102136
-22.982795944592727;$591.00;3;13;7;1;4;-43.19043771186025
-22.98343735667872;$881.00;3;13;10;1;5;-43.19020890559833
-22.98364284274673;$779.00;3;13;13;1;4;-43.19136545177122
-22.9865188319067;$4,000.00;3;13;7;0,85;4;-43.19718827137711
-22.997145356861093;$1,100.00;3;13;13;0,92;5;-43.38964770424268
-23.006385780506537;$3,801.00;6,5;13;9;1;5;-43.33172209602333
-23.024538581717252;$1,356.00;6;13;8;1;5;-43.50408393232942
-22.757421185779766;$201.00;2;12;6;0,8;3;-43.10978675431234
-22.80685306011066;$1,451.00;7;12;5;0,8;4;-43.21908779770801
-22.826946561927183;$130.00;1;12;12;1;3;-43.28456726562124
-22.917312549005086;$161.00;3;12;8;1;5;-43.21883068066096
-22.91911751039652;$601.00;2;12;7;1;3;-43.21749702244615
-22.91929963403398;$44.00;6;12;4;0,33;3;-43.24669788660138
-22.9200471535792;$44.00;3;12;12;1;3;-43.24701026669306
-22.920150551544225;$167.00;2;12;12;1;2;-43.38499995436094
-22.920304456208825;$659.00;3;12;8;1;5;-43.184249957809875
