Latitude,Longitude,VIC_AGE_GROUP,Součet hodnot: Community Districts,OCCUR_TIME,PERP_AGE_GROUP
40.668679,-73.873306,25-44,45,1899-12-30 23:00:00,(null)
40.669185,-73.905249,25-44,55,1899-12-30 15:33:00,(null)
40.669185,-73.905249,25-44,55,1899-12-30 20:58:00,(null)
40.669258,-73.864194,25-44,45,1899-12-30 16:55:00,(null)
40.669321,-73.904338,25-44,55,1899-12-30 20:48:00,(null)
40.669355,-73.924018,18-24,16,1899-12-30 21:55:00,25-44
40.66978732,-73.91658449,18-24,55,1899-12-30 00:53:00,(null)
40.66978732,-73.91658449,45-64,55,1899-12-30 00:53:00,(null)
40.66979689,-73.87056172,25-44,45,1899-12-30 13:00:00,(null)
40.669828,-73.914691,18-24,55,1899-12-30 23:39:00,18-24
40.669828,-73.914691,25-44,55,1899-12-30 22:35:00,(null)
40.670009,-73.928221,25-44,16,1899-12-30 19:30:00,18-24
40.67016,-73.862998,<18,45,1899-12-30 22:55:00,18-24
40.67016,-73.862998,25-44,45,1899-12-30 00:10:00,(null)
40.670162,-73.903108,25-44,55,1899-12-30 23:46:00,(null)
40.670198,-73.92394,25-44,16,1899-12-30 00:30:00,<18
40.670423,-73.919836,18-24,55,1899-12-30 02:15:00,25-44
40.670463,-73.936529,45-64,16,1899-12-30 00:10:00,25-44
40.670563,-73.922425,25-44,55,1899-12-30 13:10:00,25-44
40.67058184,-73.93095247,45-64,16,1899-12-30 01:10:00,(null)
40.670658,-73.875644,25-44,45,1899-12-30 23:37:00,(null)
40.670787,-73.735005,18-24,63,1899-12-30 17:06:00,<18
40.67081,-73.935107,25-44,16,1899-12-30 23:24:00,(null)
40.6711300016904,-73.9135020552048,18-24,55,1899-12-30 00:04:00,(null)
40.6711300016904,-73.9135020552048,18-24,55,1899-12-30 02:34:00,(null)
40.6711300016904,-73.9135020552048,25-44,55,1899-12-30 22:10:00,18-24
40.671245,-73.926713,<18,16,1899-12-30 20:43:00,25-44
40.671245,-73.926713,18-24,16,1899-12-30 02:46:00,(null)
40.671245,-73.926713,25-44,32,1899-12-30 19:50:00,25-44
40.67133,-73.936447,25-44,16,1899-12-30 06:20:00,(null)
40.6713598203364,-73.8818110231735,<18,45,1899-12-30 03:26:00,18-24
40.6713598203364,-73.8818110231735,18-24,45,1899-12-30 21:36:00,(null)
40.6713598203364,-73.8818110231735,25-44,45,1899-12-30 03:26:00,18-24
40.6713598203364,-73.8818110231735,25-44,45,1899-12-30 16:00:00,25-44
40.671636,-73.863359,25-44,45,1899-12-30 15:24:00,(null)
40.671888,-73.959343,25-44,16,1899-12-30 23:55:00,(null)
40.672084,-73.950293,65+,16,1899-12-30 17:01:00,25-44
40.672111,-73.847288,25-44,124,1899-12-30 18:30:00,25-44
40.672196,-73.876027,25-44,45,1899-12-30 00:34:00,(null)
40.672281,-73.809201,25-44,62,1899-12-30 15:50:00,18-24
40.672281,-73.809201,25-44,62,1899-12-30 15:50:00,25-44
40.67235,-73.7642,25-44,41,1899-12-30 18:47:00,25-44
40.672382,-73.892576,25-44,45,1899-12-30 16:00:00,25-44
40.672423,-73.915472,18-24,55,1899-12-30 17:40:00,18-24
40.672544,-73.843226,25-44,124,1899-12-30 05:29:00,25-44
40.672577,-73.873261,25-44,45,1899-12-30 00:35:00,(null)
40.67258227,-73.89121641,18-24,45,1899-12-30 01:16:00,(null)
40.67271591,-73.89031495,18-24,45,1899-12-30 14:35:00,18-24
40.672777,-73.866472,25-44,45,1899-12-30 18:50:00,(null)
40.672789,-73.88094,25-44,45,1899-12-30 19:05:00,18-24
40.673044,-73.943244,25-44,16,1899-12-30 19:03:00,(null)
40.673044,-73.943244,45-64,16,1899-12-30 19:03:00,(null)
40.673053,-73.879107,25-44,45,1899-12-30 02:20:00,(null)
40.673077,-73.869907,18-24,45,1899-12-30 13:00:00,<18
40.67313,-73.936303,25-44,16,1899-12-30 20:39:00,(null)
40.673156,-73.907766,25-44,55,1899-12-30 16:30:00,(null)
40.673228,-73.789452,25-44,41,1899-12-30 06:10:00,18-24
40.673233,-73.904374,18-24,55,1899-12-30 20:49:00,(null)
40.673267,-73.939029,18-24,16,1899-12-30 18:04:00,(null)
40.6734,-73.756691,25-44,41,1899-12-30 02:33:00,(null)
40.673433,-73.803594,25-44,62,1899-12-30 23:40:00,(null)
40.673496,-73.871451,25-44,45,1899-12-30 11:35:00,(null)
40.6735884,-73.96295477,25-44,16,1899-12-30 18:26:00,<18
40.673764,-73.923607,25-44,16,1899-12-30 17:15:00,(null)
